Quarter,Year,Id,Low,High
Spring,2010,3140,54001,57502
Summer,2010,3160,56003,56545
Fall,2010,3200,60001,63592
Winter,2011,3220,63001,65231
Spring,2011,3240,66001,68433
Summer,2011,3260,69001,69512
Fall,2011,3300,72005,74449
Winter,2012,3320,75001,77321
Spring,2012,3340,78001,80513
Summer,2012,3360,81001,81476
Fall,2012,3400,83001,85524
Winter,2013,3420,85001,87347
Spring,2013,3440,87001,89514
Summer,2013,3460,89005,89574
Fall,2013,3500,91003,93484
Winter,2014,3520,93001,95489
Spring,2014,3540,95001,97599
Summer,2014,3560,98026,98523
Fall,2014,3600,10007,12687
Winter,2015,3620,14001,16793
Spring,2015,3640,18001,20655
Summer,2015,3660,22001,22595
Fall,2015,3700,26002,30174
Winter,2016,3720,30003,33195
Spring,2016,3740,34002,37006
Summer,2016,3760,38001,38665
Fall,2016,3800,42003,44501
Winter,2017,3820,46003,48550
Spring,2017,3840,50003,52758
Summer,2017,3860,54001,54500
Fall,2017,3900,58002,60473
Winter,2018,3920,62002,64474
Spring,2018,3940,66002,68669
Summer,2018,3960,70116,70784
Fall,2018,4000,74002,76858
Winter,2019,4020,78002,80552
Spring,2019,4040,82006,84949
Summer,2019,4060,86007,86553
