year,quarter,course_id,instructor_name,subject,subject_number,response_rate,num_enrolled,num_responses,class_name,overall_avg,overall_std_dev,difficulty_avg,difficulty_med,difficulty_std_dev,zero_one,two_three,four_five,six_seven,eight_ten,eleven_fourteen,fifteen_plus
2018,Spring,67295,Anthony Bombik,CENG,43,84.4,32,27,Mech III:Strength of Materials,3.9,1,3.4,3.0,0.7,0,29.6,48.1,11.1,11.1,0,0
2018,Spring,66835,Sonja Mackenzie,PHSC,150,79.3,29,23,Evidence-Based Public Health,4.7,0.5,3.0,3.0,0.8,4.3,39.1,39.1,17.4,0,0,0
2018,Spring,66821,Matthew Frise,PHIL,19,94.1,17,16,Knowledge and Reality,4.5,0.8,3.6,4.0,0.7,0,37.5,43.8,12.5,6.3,0,0
2018,Spring,66809,Joshua Reed,MUSC,146,85.7,7,6,Jazz Combo,4.6,1,4.7,5.0,0.8,33.3,16.7,16.7,33.3,0,0,0
2018,Spring,66148,Sara Garcia,EDUC,252,63.2,19,12,Social Foundations in TK-12 Ed,4.6,0.7,3.4,3.0,1.0,8.3,33.3,25,16.7,16.7,0,0
2018,Spring,67256,Rajiv Kapur,OMIS,34,90.0,20,18,"Science,Info Tech, Busn & Soc",4.4,1,3.9,4.0,0.7,0,66.7,33.3,0,0,0,0
2018,Spring,67530,Coby Carpentier,MILS,143,80.0,5,4,Leadership in a Complex World,4.8,0.3,2.8,3.0,0.5,0,50,25,25,0,0,0
2018,Spring,67524,Coby Carpentier,MILS,13,72.7,11,8,Foundations of Leadership,4.3,1,2.8,3.0,0.9,25,37.5,37.5,0,0,0,0
2018,Spring,67242,Eghbal Rashidi,OMIS,108,71.0,31,22,Operations Management,3.8,1.1,2.5,3.0,0.8,23.8,61.9,14.3,0,0,0,0
2018,Spring,67518,John Heath,HNRS,20,81.3,16,13,Difficult Dialogues,4.7,0.6,4.8,5.0,0.4,0,23.1,46.2,15.4,15.4,0,0
2018,Spring,66606,Byron Walden,CSCI,163A,76.9,13,10,Theory of Algorithms,3.7,1.2,3.4,3.5,1.3,0,30,60,10,0,0,0
2018,Spring,66160,Gregory Barnes,EDUC,374,70.0,20,14,Organizational Culture,4.7,0.7,3.1,3.0,0.9,42.9,35.7,21.4,0,0,0,0
2018,Spring,67097,Christopher Lee,ACTG,12,88.2,34,30,Intro to Managerial Accounting,4.5,0.8,3.4,4.0,1.1,10,36.7,43.3,6.7,3.3,0,0
2018,Spring,67083,Neal Ushman,ACTG,131,83.8,37,31,Intermediate Financial Actg II,4.4,0.9,4.7,5.0,0.6,0,3.3,26.7,30,16.7,20,3.3
2018,Spring,67915,Aparajita Nanda,WGST,103,100.0,2,2,Topics: Women and Gender,4.2,0.3,2.5,2.5,0.7,50,0,50,0,0,0,0
2018,Spring,67901,Barbara Burns,CHST,101,83.3,12,10,Infancy and Early Childhood,4.1,0.9,2.7,3.0,0.7,0,40,40,20,0,0,0
2018,Spring,67732,Meilin Chinn,PHIL,176,85.2,27,23,Buddhist Philosophy,4.8,0.4,4.7,5.0,0.5,4.3,39.1,39.1,13,4.3,0,0
2018,Spring,66438,Janice Edgerly-rooks,BIOL,7,66.7,9,6,Exploring Animal Behavior,3.3,1,3.3,3.0,0.5,0,33.3,66.7,0,0,0,0
